,ApplicantEducationID,ApplicantID,DateStart,DateEnd,EducationInstituteName,Score,EducationLevelID,MajorID,Degree
6774,9836,27312,2005-09-01 00:00:00.0000000,2010-10-01 00:00:00.0000000,UNIVERSITAS VETERAN PEMBANGUNAN NASIONAL YOGYAKARTA,334.0,2,15.0,True
6775,9837,29190,2011-11-01 00:00:00.0000000,2017-06-01 00:00:00.0000000,UNIVERSITAS AIRLANGGA,3.07,2,6.0,True
6776,9838,29190,2018-02-01 00:00:00.0000000,2020-01-01 00:00:00.0000000,UNIVERSITAS INDONESIA,3.46,1,6.0,True
6777,9839,29191,2012-03-01 00:00:00.0000000,2015-05-01 00:00:00.0000000,SMA BUDI MULIA UTAMA,82.5,5,13.0,False
6778,9840,29194,2017-08-01 00:00:00.0000000,2019-08-01 00:00:00.0000000,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3.65,2,8.0,True
6779,9841,29194,2014-08-01 00:00:00.0000000,2017-08-01 00:00:00.0000000,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3.56,4,8.0,True
6780,9842,29195,2012-02-01 00:00:00.0000000,2016-08-01 00:00:00.0000000,UNIVERSITAS AIRLANGGA,281.0,4,2.0,True
6781,9843,29196,2014-09-01 00:00:00.0000000,2019-07-01 00:00:00.0000000,UNIVERSITAS MEDAN AREA,3.63,2,3.0,True
6782,9844,29222,0013-09-01 00:00:00.0000000,0017-09-01 00:00:00.0000000,POLITEKNIK NEGERI MALANG,3.27,3,8.0,True
6783,9845,29209,2017-09-01 00:00:00.0000000,2019-06-01 00:00:00.0000000,UNIVERSITAS BINA NUSANTARA,314.0,2,17.0,True
6784,9846,29209,2012-06-01 00:00:00.0000000,2015-06-01 00:00:00.0000000,UNIVERSITAS INDONESIA,314.0,4,17.0,True
6785,9847,29228,2013-09-01 00:00:00.0000000,2016-12-01 00:00:00.0000000,BINA SARANA INFORMATIKA,3.51,4,15.0,True
6786,9848,29233,2016-08-01 00:00:00.0000000,2019-07-01 00:00:00.0000000,POLITEKNIK NEGERI MALANG,3.17,4,8.0,True
6787,9849,29227,2016-06-01 00:00:00.0000000,2020-06-01 00:00:00.0000000,SMK TELEKOMUNIKASI TELESANDI BEKASI,7.5,6,14.0,False
6788,9850,29225,2015-09-01 00:00:00.0000000,2019-07-01 00:00:00.0000000,POLITEKNIK NEGERI MALANG,332.0,3,8.0,True
6789,9851,29232,2016-08-01 00:00:00.0000000,2019-08-01 00:00:00.0000000,POLITEKNIK NEGERI MALANG,3.29,4,8.0,True
6790,9852,29239,2016-08-01 00:00:00.0000000,2019-11-01 00:00:00.0000000,POLITEKNIK NEGERI MALANG,3.57,4,8.0,False
6791,9853,29240,2016-06-01 00:00:00.0000000,2019-09-01 00:00:00.0000000,INSTITUT TEKNOLOGI SEPULUH NOPEMBER SURABAYA,3.0,4,8.0,True
