,PipelineID,ApplicantID,JobID,StageID
15155,22238,43230,2858,11
15156,22239,43231,2831,10
15157,22240,43232,2701,10
15158,22241,43233,2850,11
15159,22242,43234,2851,10
15160,22243,43235,2849,6
15161,22244,43236,2837,10
15162,22245,43237,2830,10
15163,22246,43238,2849,10
15164,22247,43239,2854,9
15165,22248,43240,2831,10
15166,22249,43241,2862,10
15167,22250,43242,2849,10
15168,22251,43243,2849,6
15169,22252,43244,2862,11
15170,22253,43245,2862,6
15171,22254,43246,2861,11
15172,22255,382,2837,10
15173,22256,43247,2830,10
15174,22257,43248,2862,10
15175,22258,43249,2740,10
15176,22259,43250,2851,10
15177,22260,43169,2862,7
15178,22261,43169,2864,7
15179,22262,43169,2865,10
15180,22263,43169,2850,9
15181,22264,43251,2864,6
15182,22265,43252,2864,11
15183,22266,43253,2837,10
15184,22267,43254,2837,10
15185,22268,43255,2859,10
15186,22269,43256,2854,9
15187,22270,43256,2844,10
15188,22271,43257,2837,10
15189,22272,43258,2861,9
15190,22273,43259,2865,11
15191,22274,43260,2740,10
15192,22275,43260,2862,11
15193,22276,43261,2854,6
15194,22277,43262,2837,10
15195,22278,43263,2837,10
15196,22279,43264,2849,7
15197,22280,43264,2857,10
15198,22281,43264,2854,9
15199,22282,43265,2867,11
15200,22283,43266,2867,11
15201,22284,43267,2759,10
15202,22285,43268,2806,10
15203,22286,43268,2740,10
15204,22287,43269,2866,11
15205,22288,43095,2865,10
15206,22289,43270,2814,10
15207,22290,43271,2865,10
15208,22291,43271,2857,10
15209,22292,43272,2837,10
15210,22293,43273,2865,10
15211,22294,43274,2814,10
15212,22295,43275,2837,10
15213,22296,42947,2837,10
15214,22297,43276,2830,10
15215,22298,43277,2837,10
15216,22299,43277,2814,10
15217,22300,43278,2854,6
15218,22301,43278,2844,10
15219,22302,43278,2837,10
15220,22303,43278,2757,9
15221,22304,43273,2854,9
15222,22305,43279,2837,10
15223,22306,43280,2814,10
15224,22307,43280,2837,10
15225,22308,43281,2759,10
15226,22309,43282,2837,10
15227,22310,43283,2859,11
15228,22311,43284,2868,11
15229,22312,43285,2866,10
15230,22313,43286,2857,6
15231,22314,43287,2759,10
15232,22315,43288,2844,10
15233,22316,43289,2837,10
15234,22317,43290,2837,7
15235,22318,43291,2866,11
15236,22319,36300,2865,10
15237,22320,36300,2854,9
15238,22321,43292,2837,10
15239,22322,43292,2866,10
15240,22323,43292,2806,10
15241,22324,43292,2740,10
15242,22325,43292,2814,10
15243,22326,140,2775,10
15244,22327,43293,2857,10
15245,22328,43294,2837,10
15246,22329,43294,2830,7
15247,22330,43295,2775,10
15248,22331,43296,2837,7
15249,22332,43297,2837,10
15250,22333,43297,2814,10
15251,22334,43298,2831,10
15252,22335,43298,2798,10
15253,22336,31487,2865,10
15254,22337,43299,2844,10
15255,22338,43299,2837,10
15256,22339,43299,2814,10
15257,22340,43300,2837,10
15258,22341,43301,2837,7
15259,22342,43302,2837,10
15260,22343,43302,2814,10
15261,22344,43303,2837,10
15262,22345,43304,2837,10
15263,22346,43305,2863,10
15264,22347,41289,2837,10
15265,22348,43306,2844,10
15266,22349,38298,2837,10
15267,22350,43307,2814,10
15268,22351,43308,2837,10
15269,22352,43309,2848,10
15270,22353,43310,2848,10
15271,22354,43249,2863,6
15272,22355,43255,2831,10
15273,22356,43311,2740,10
15274,22357,43312,2768,10
15275,22358,43313,2740,10
15276,22359,43313,2865,10
15277,22360,43314,2851,10
15278,22361,43315,2862,7
15279,22362,43316,2870,10
15280,22363,43316,2869,10
15281,22364,43317,2837,9
15282,22365,43318,2862,10
15283,22366,43316,2865,10
15284,22367,43319,2740,10
15285,22368,43320,2866,10
15286,22369,43321,2870,10
15287,22370,43322,2869,10
15288,22371,38203,2837,9
15289,22372,43323,2837,10
15290,22373,43323,2814,10
15291,22374,43323,2866,10
15292,22375,43323,2862,7
15293,22376,43324,2865,10
15294,22377,43324,2865,9
15295,22378,43325,2862,10
15296,22379,41137,2870,10
15297,22380,43326,2831,10
15298,22381,43327,2837,10
15299,22382,38201,2717,9
15300,22383,43328,2740,6
15301,22384,43329,2837,9
15302,22385,43330,2863,10
15303,22386,43331,2863,10
15304,22387,43331,2866,10
15305,22388,43332,2869,10
15306,22389,43332,2837,9
15307,22390,43331,2862,10
15308,22391,43333,2865,10
15309,22392,43334,2837,10
15310,22393,43334,2808,9
15311,22394,43335,2848,10
15312,22395,43336,2872,11
15313,22396,43337,2851,10
15314,22397,43338,2837,9
15315,22398,43339,2866,10
15316,22399,43340,2740,11
15317,22400,43341,2863,10
15318,22401,43341,2865,10
15319,22402,43341,2844,10
15320,22403,43341,2842,10
15321,22404,43342,2870,10
15322,22405,43343,2863,10
15323,22406,17194,2866,10
15324,22407,17194,2862,7
15325,22408,17194,2851,10
15326,22409,43344,2851,10
15327,22410,43224,2859,6
15328,22411,43345,2865,6
15329,22412,43341,2873,10
15330,22413,43346,2863,11
15331,22414,43347,2874,6
15332,22415,43348,2874,10
15333,22416,43349,2814,10
15334,22417,43350,2874,10
15335,22418,43351,2869,9
15336,22419,43352,2869,11
15337,22420,43353,2847,10
15338,22421,43354,2831,10
15339,22422,43354,2798,10
15340,22423,43354,2785,10
15341,22424,43354,2759,10
15342,22425,43354,2849,7
15343,22426,43355,2874,10
15344,22427,43278,2873,10
15345,22428,43278,2860,10
15346,22429,43356,2854,9
15347,22430,43356,2814,10
15348,22431,43081,2876,6
15349,22432,43235,2876,6
15350,22433,43357,2873,10
15351,22434,30325,2854,9
15352,22435,43358,2860,10
15353,22436,36217,2859,9
15354,22437,43359,2875,11
15355,22438,43360,2844,6
15356,22439,43361,2873,10
15357,22440,43361,2870,10
15358,22441,43361,2865,10
15359,22442,43361,2860,10
15360,22443,43362,2876,11
15361,22444,43362,2849,11
15362,22445,43363,2873,10
15363,22446,43095,2800,10
15364,22447,43095,2854,9
15365,22448,43095,2873,10
15366,22449,43364,2873,10
15367,22450,43364,2877,10
15368,22451,43364,2775,10
15369,22452,43365,2877,6
15370,22453,43366,2873,10
15371,22454,43367,2873,10
15372,22455,43368,2866,10
15373,22456,43369,2873,10
15374,22457,43282,2878,10
15375,22458,43370,2877,10
15376,22459,43370,2878,10
15377,22460,43370,2866,10
15378,22461,43371,2873,10
15379,22462,43372,2873,10
15380,22463,43373,2870,10
15381,22464,43373,2873,10
15382,22465,43373,2857,9
15383,22466,43374,2873,10
15384,22467,43375,2879,10
15385,22468,43376,2879,10
15386,22469,43377,2759,10
15387,22470,30107,2874,10
15388,22471,30107,2863,10
15389,22472,43378,2878,10
15390,22473,43378,2877,10
15391,22474,43379,2860,11
15392,22475,43380,2873,10
15393,22476,43381,2866,10
15394,22477,43382,2870,10
15395,22478,43383,2848,11
15396,22479,43384,2759,10
15397,22480,43385,2859,6
15398,22481,43386,2873,10
15399,22482,43387,2870,10
15400,22483,43388,2848,10
15401,22484,43389,2873,10
15402,22485,43389,2866,10
15403,22486,43389,2844,10
15404,22487,43389,2880,10
15405,22488,43036,2873,10
15406,22489,43371,2844,10
15407,22490,43390,2768,6
15408,22491,43391,2877,6
15409,22492,43392,2873,10
15410,22493,43179,2883,1
15411,22494,43393,2877,10
15412,22495,43393,2878,10
15413,22496,43394,2866,10
15414,22497,43394,2880,10
15415,22498,43395,2851,10
15416,22499,43396,2870,10
15417,22500,43397,2880,10
15418,22501,43393,2814,10
