PipelineID,ApplicantID,JobID,StageID
438,1085,14,10
439,1085,6,10
441,1087,35,10
442,1089,50,10
444,1057,51,10
445,949,28,10
446,1082,44,10
447,708,35,10
448,1092,28,10
449,1105,35,10
451,1097,50,10
452,1094,39,10
454,1123,53,10
455,1120,51,10
456,1124,51,10
457,1124,50,10
458,1124,47,10
459,1124,44,10
460,1124,17,10
461,1117,43,10
462,1125,50,10
463,1119,51,10
464,1133,44,10
465,1065,54,10
466,1103,55,10
468,1159,38,10
469,1159,28,10
470,1178,54,10
471,1073,41,10
472,1210,40,10
473,1210,39,10
475,1211,15,10
477,1238,45,10
478,1236,39,10
479,1239,51,10
480,1239,45,10
482,1271,45,11
484,1236,50,10
485,1314,43,10
486,1312,15,10
487,1332,15,10
488,1338,15,10
489,1313,43,10
490,1340,53,10
491,1340,28,10
494,1344,17,10
495,1350,51,10
496,1376,54,10
500,1382,6,10
501,1390,54,10
502,1393,28,10
503,1391,51,10
504,1401,40,11
505,1416,53,11
506,1431,15,10
507,1431,39,10
508,1439,51,10
509,1124,45,10
510,1124,6,10
511,1414,15,10
512,1414,39,10
513,1414,19,10
514,1427,53,10
518,1464,56,10
521,1481,52,10
522,1480,55,10
523,1500,15,10
525,1505,55,10
526,1508,28,10
528,1527,40,10
529,1073,14,10
530,1515,43,10
531,1108,48,10
532,1525,43,10
533,1555,51,10
534,1557,51,10
535,1560,57,10
536,1523,43,10
537,1566,51,10
538,1566,45,10
539,1567,51,10
540,1567,45,10
541,1573,43,10
542,1080,51,10
543,1557,56,10
544,1581,50,10
546,1592,56,10
547,1592,31,10
548,1599,50,11
549,1613,56,10
550,1615,51,10
551,1619,50,10
553,1627,15,10
554,1632,51,10
555,1632,50,10
556,1646,39,10
557,1652,51,10
558,1648,54,11
559,1649,54,10
562,1661,39,10
563,1656,52,10
564,1656,53,10
565,1668,51,10
566,1564,28,10
568,1543,28,11
569,1528,54,10
570,1681,54,10
572,1674,51,10
573,1679,54,10
574,1679,35,10
575,1697,39,10
576,1697,41,10
577,1677,43,10
578,1700,51,10
580,1700,40,10
581,1700,31,10
583,1702,54,10
584,1704,53,10
585,1704,39,10
586,1711,55,10
587,1711,54,10
588,1711,52,10
589,1711,39,10
590,1711,40,10
591,1711,53,10
592,1722,54,10
593,1725,50,10
594,1726,51,10
595,1726,50,10
596,1726,31,10
597,1731,14,10
599,14,54,10
600,1736,15,10
601,1730,43,10
602,1744,54,10
603,1745,54,10
604,1745,39,10
605,1745,53,10
606,1745,55,10
607,1745,35,10
608,1745,28,10
609,1746,39,10
610,1746,17,10
611,1751,40,10
613,1763,15,10
614,1379,43,10
615,1761,43,10
617,1767,58,11
618,1665,50,10
619,1786,53,10
620,1786,54,10
